layer,pos,p2f_train,p2f_test,p2f_auroc,f2p_train,f2p_test,f2p_auroc
22,2,1.0,0.74,0.8156,1.0,0.7166666666666667,0.7967111111111111
22,3,1.0,0.7033333333333334,0.7602222222222222,1.0,0.7166666666666667,0.8023555555555556
22,4,1.0,0.77,0.8821777777777777,1.0,0.7133333333333334,0.7934222222222223
23,0,1.0,0.5533333333333333,0.6357777777777778,1.0,0.6066666666666667,0.6515555555555556
23,1,1.0,0.5766666666666667,0.6773777777777777,1.0,0.64,0.7076888888888889
23,2,1.0,0.7033333333333334,0.7981333333333334,1.0,0.7,0.7623555555555556
23,3,1.0,0.72,0.7956888888888889,1.0,0.74,0.8181777777777778
23,4,1.0,0.7766666666666666,0.8812888888888889,1.0,0.7266666666666667,0.8072444444444444
24,0,1.0,0.5833333333333334,0.6486222222222222,1.0,0.5833333333333334,0.6700444444444444
24,1,1.0,0.5833333333333334,0.6564,1.0,0.6333333333333333,0.7084444444444444
24,2,1.0,0.6866666666666666,0.7780888888888889,1.0,0.6633333333333333,0.7221333333333333
24,3,1.0,0.68,0.7818222222222222,1.0,0.73,0.8204444444444444
24,4,1.0,0.7833333333333333,0.8605777777777778,1.0,0.73,0.8072
25,0,1.0,0.57,0.6236888888888888,1.0,0.6133333333333333,0.6482666666666667
25,1,1.0,0.5866666666666667,0.6768,1.0,0.6433333333333333,0.7295555555555555
25,2,1.0,0.6866666666666666,0.7703111111111111,1.0,0.68,0.7339555555555556
25,3,1.0,0.6633333333333333,0.7744888888888889,1.0,0.7266666666666667,0.8344444444444444
25,4,1.0,0.7733333333333333,0.8606222222222222,1.0,0.7233333333333334,0.8088
26,0,1.0,0.6033333333333334,0.5908888888888889,1.0,0.6333333333333333,0.6689777777777778
26,1,1.0,0.6,0.6525333333333333,1.0,0.6366666666666667,0.7112
26,2,1.0,0.6333333333333333,0.7238666666666667,1.0,0.6766666666666666,0.7452
26,3,1.0,0.69,0.7796444444444445,1.0,0.71,0.8127555555555556
26,4,1.0,0.7766666666666666,0.8722666666666666,1.0,0.7166666666666667,0.8068888888888889
27,0,1.0,0.6,0.6255555555555555,1.0,0.6533333333333333,0.7100888888888889
27,1,1.0,0.61,0.6536888888888889,1.0,0.6133333333333333,0.6809777777777778
27,2,1.0,0.6666666666666666,0.7253777777777778,1.0,0.6866666666666666,0.7657777777777778
27,3,1.0,0.6966666666666667,0.7804888888888889,1.0,0.71,0.7913777777777777
27,4,1.0,0.76,0.8601777777777778,1.0,0.7366666666666667,0.8056
