layer,pos,p2f_train,p2f_test,p2f_auroc,f2p_train,f2p_test,f2p_auroc
26,2,1.0,0.89,0.9635111111111111,1.0,0.6766666666666666,0.7639555555555556
26,3,1.0,0.75,0.9039111111111111,1.0,0.71,0.8300444444444445
26,4,1.0,0.7866666666666666,0.8927111111111111,1.0,0.77,0.8732444444444445
27,0,1.0,0.5466666666666666,0.5201777777777777,1.0,0.5133333333333333,0.5263111111111111
27,1,1.0,0.7066666666666667,0.8884,1.0,0.5833333333333334,0.6269333333333333
27,2,1.0,0.8933333333333333,0.9717333333333333,1.0,0.6933333333333334,0.7660444444444444
27,3,1.0,0.74,0.9036,1.0,0.7066666666666667,0.8275555555555556
27,4,1.0,0.7833333333333333,0.8942666666666667,1.0,0.7633333333333333,0.8685333333333334
28,0,1.0,0.53,0.5241777777777777,1.0,0.5066666666666667,0.5244888888888889
28,1,1.0,0.7233333333333334,0.8914222222222222,1.0,0.5866666666666667,0.6299555555555556
28,2,1.0,0.91,0.9732444444444445,1.0,0.6933333333333334,0.7743555555555556
28,3,1.0,0.7433333333333333,0.9185333333333333,1.0,0.7033333333333334,0.8365777777777778
28,4,1.0,0.7733333333333333,0.8949777777777778,1.0,0.7866666666666666,0.8745777777777778
29,0,1.0,0.5466666666666666,0.5201777777777777,1.0,0.52,0.5288888888888889
29,1,1.0,0.74,0.8840444444444444,1.0,0.5866666666666667,0.6350222222222223
29,2,1.0,0.9066666666666666,0.9690666666666666,1.0,0.7,0.7729333333333334
29,3,1.0,0.8033333333333333,0.9295111111111111,1.0,0.7233333333333334,0.8328
29,4,1.0,0.7733333333333333,0.8968,1.0,0.7833333333333333,0.8755555555555555
30,0,1.0,0.55,0.51,1.0,0.5,0.5251555555555556
30,1,1.0,0.7366666666666667,0.9022666666666667,1.0,0.58,0.6466666666666666
30,2,1.0,0.9,0.9696888888888889,1.0,0.6833333333333333,0.7644
30,3,1.0,0.8033333333333333,0.93,1.0,0.6733333333333333,0.8158666666666666
30,4,1.0,0.77,0.9004444444444445,1.0,0.7766666666666666,0.8697333333333334
31,0,1.0,0.45,0.51,1.0,0.51,0.5268888888888889
31,1,1.0,0.75,0.9062222222222223,1.0,0.5833333333333334,0.6131555555555556
31,2,1.0,0.86,0.9478222222222222,1.0,0.6466666666666666,0.7055111111111111
31,3,1.0,0.8333333333333334,0.9165777777777778,1.0,0.6433333333333333,0.7582666666666666
31,4,1.0,0.7033333333333334,0.8848,1.0,0.76,0.8447111111111111
